,D,eigen_values_obs,pos,vel,des_vel,normals,dists
44,"[[13.76993542 -3.98520749 -1.05386736]
 [-3.98520749 59.65551519  0.12036095]
 [-1.05386736  0.12036095 12.75867021]]","[[60.          0.          0.        ]
 [ 0.         14.18412082  0.        ]
 [ 0.          0.         12.        ]]",[0.42280627 0.40651665 0.19073688],[ 0.10391659 -0.10916177  0.03937537],[-0.03212196 -0.15796807  0.0325367 ],"[[-0.08598527]
 [ 0.99628644]
 [ 0.0044565 ]]",[3.96568923]
45,"[[13.77488175 -3.98072333 -1.06639808]
 [-3.98072333 59.65636904  0.10572521]
 [-1.06639808  0.10572521 12.77565651]]","[[60.          0.          0.        ]
 [ 0.         14.20690729  0.        ]
 [ 0.          0.         12.        ]]",[0.42416202 0.4051085  0.19127752],[ 0.10078808 -0.1051967   0.04207883],[-0.03217079 -0.15757495  0.03288916],"[[-0.08589322]
 [ 0.99629562]
 [ 0.00417009]]",[3.92580772]
46,"[[13.78176843 -3.97776008 -1.08435902]
 [-3.97776008 59.65681336  0.10595127]
 [-1.08435902  0.10595127 12.79811637]]","[[60.          0.          0.        ]
 [ 0.         14.23669816  0.        ]
 [ 0.          0.         12.        ]]",[0.42583615 0.40337693 0.1919769 ],[ 0.0972075  -0.10169849  0.03962892],[-0.03223222 -0.15713757  0.03329246],"[[-0.085845  ]
 [ 0.99629962]
 [ 0.00420843]]",[3.87838857]
47,"[[13.78916689 -3.97850983 -1.10105236]
 [-3.97850983 59.65653692  0.11510467]
 [-1.10105236  0.11510467 12.81786501]]","[[60.          0.          0.        ]
 [ 0.         14.26356882  0.        ]
 [ 0.          0.         12.        ]]",[0.42715713 0.40195734 0.19248151],[ 0.09519371 -0.10281848  0.03682371],[-0.03229244 -0.156799    0.03361676],"[[-0.08588147]
 [ 0.99629549]
 [ 0.00443469]]",[3.84050073]
48,"[[13.79209568 -3.96888546 -1.11308031]
 [-3.96888546 59.65828637  0.10081393]
 [-1.11308031  0.10081393 12.83515391]]","[[60.          0.          0.        ]
 [ 0.         14.28553597  0.        ]
 [ 0.          0.         12.        ]]",[0.42852974 0.40051172 0.19300724],[ 0.0975719  -0.10123874  0.03702427],[-0.0323426  -0.15641948  0.03395975],"[[-0.08567536]
 [ 0.99631446]
 [ 0.00415152]]",[3.80301896]
49,"[[13.79793918 -3.96829234 -1.12903319]
 [-3.96829234 59.6582535   0.11010606]
 [-1.12903319  0.11010606 12.85482571]]","[[60.          0.          0.        ]
 [ 0.         14.31101839  0.        ]
 [ 0.          0.         12.        ]]",[0.42979907 0.39918044 0.19343401],[ 0.09591597 -0.10041295  0.0327545 ],[-0.03238647 -0.15608761  0.0342714 ],"[[-0.08568027]
 [ 0.99631306]
 [ 0.00437873]]",[3.76934771]
50,"[[13.8026575  -3.96385382 -1.14641062]
 [-3.96385382 59.6589158   0.11592652]
 [-1.14641062  0.11592652 12.87758149]]","[[60.          0.          0.        ]
 [ 0.         14.33915479  0.        ]
 [ 0.          0.         12.        ]]",[0.43123325 0.39767032 0.19390268],[ 0.09447354 -0.09963406  0.03160437],[-0.03242744 -0.15569496  0.03464075],"[[-0.08559933]
 [ 0.99631933]
 [ 0.00453355]]",[3.73036078]
51,"[[13.81201761 -3.97250239 -1.16153885]
 [-3.97250239 59.65759904  0.08633824]
 [-1.16153885  0.08633824 12.8999574 ]]","[[60.          0.          0.        ]
 [ 0.         14.36957404  0.        ]
 [ 0.          0.         12.        ]]",[0.43280066 0.39601579 0.19442739],[ 0.0998854  -0.10731256  0.03301925],[-0.03244878 -0.15520223  0.03509662],"[[-0.08578866]
 [ 0.99630556]
 [ 0.00394195]]",[3.68436767]
52,"[[ 1.38215232e+01 -3.98782954e+00 -1.17498223e+00]
 [-3.98782954e+00  5.96550912e+01  5.67824109e-02]
 [-1.17498223e+00  5.67824109e-02  1.29205030e+01]]","[[60.          0.          0.        ]
 [ 0.         14.39711742  0.        ]
 [ 0.          0.         12.        ]]",[0.43407806 0.39463232 0.19481319],[ 0.0978116  -0.10627374  0.02852418],[-0.03243876 -0.1547604   0.03551616],"[[-0.08612082]
 [ 0.99627906]
 [ 0.00335096]]",[3.64502653]
53,"[[13.82658441 -3.99188314 -1.19247597]
 [-3.99188314 59.65427445  0.06637165]
 [-1.19247597  0.06637165 12.94418549]]","[[60.          0.          0.        ]
 [ 0.         14.42504435  0.        ]
 [ 0.          0.         12.        ]]",[0.43532909 0.39333138 0.19521749],[ 0.09509884 -0.09737972  0.03345334],[-0.0324384  -0.15440802  0.03587522],"[[-0.08622433]
 [ 0.99626928]
 [ 0.0035903 ]]",[3.61025809]
54,"[[13.8317461  -3.99508967 -1.21243192]
 [-3.99508967 59.65354576  0.08233813]
 [-1.21243192  0.08233813 12.97107185]]","[[60.          0.          0.        ]
 [ 0.         14.45636372  0.        ]
 [ 0.          0.         12.        ]]",[0.4367007  0.39196765 0.19569615],[ 0.10099737 -0.1024231   0.03211686],[-0.03243875 -0.15402396  0.03625986],"[[-0.08631388]
 [ 0.99626009]
 [ 0.00396947]]",[3.57392254]
55,"[[13.82738172 -3.97191969 -1.23893259]
 [-3.97191969 59.65708633  0.13435462]
 [-1.23893259  0.13435462 13.00772069]]","[[60.          0.          0.        ]
 [ 0.         14.49218875  0.        ]
 [ 0.          0.         12.        ]]",[0.43805687 0.39059649 0.19610734],[ 0.10622565 -0.10735771  0.03160536],[-0.03244476 -0.15360746  0.03669156],"[[-0.08584177]
 [ 0.99629567]
 [ 0.00511167]]",[3.53820738]
56,"[[13.74737748 -3.75664175 -1.23298397]
 [-3.75664175 59.69349255  0.15553937]
 [-1.23298397  0.15553937 13.02717504]]","[[60.          0.          0.        ]
 [ 0.         14.46804507  0.        ]
 [ 0.          0.         12.        ]]",[0.43960938 0.38900218 0.19654835],[ 0.11010814 -0.11285574  0.03269986],[-0.0324676  -0.15333887  0.03696388],"[[-0.08109609]
 [ 0.9966915 ]
 [ 0.00542899]]",[3.51149467]
57,"[[13.74716976 -3.74106458 -1.25486466]
 [-3.74106458 59.69549412  0.19842281]
 [-1.25486466  0.19842281 13.05732357]]","[[60.          0.          0.        ]
 [ 0.         14.49998745  0.        ]
 [ 0.          0.         12.        ]]",[0.44102141 0.38756282 0.19698283],[ 0.10560108 -0.10867275  0.03315909],[-0.03250262 -0.15300987  0.03730304],"[[-0.08078979]
 [ 0.99671079]
 [ 0.00637267]]",[3.48020235]
58,"[[ 1.37015281e+01 -3.61686228e+00 -1.23271708e+00]
 [-3.61686228e+00  5.97171014e+01  3.13408935e-02]
 [-1.23271708e+00  3.13408935e-02  1.30605254e+01]]","[[60.          0.          0.        ]
 [ 0.         14.47915485  0.        ]
 [ 0.          0.         12.        ]]",[0.44217    0.38636106 0.19730675],[ 0.10253041 -0.10773231  0.02997944],[-0.03244971 -0.15236722  0.03782515],"[[-0.07795477]
 [ 0.99695321]
 [ 0.00271289]]",[3.43494873]
