,D,eigen_values_obs,pos,vel,des_vel,normals,dists
48,"[[12.68316433  4.71276413 -0.42269009]
 [ 4.71276413 59.51635211  0.85877778]
 [-0.42269009  0.85877778 13.21104958]]","[[60.          0.          0.        ]
 [ 0.         13.41056602  0.        ]
 [ 0.          0.         12.        ]]",[0.42931786 0.40455063 0.1730466 ],[ 0.11880202 -0.12690095 -0.00300842],[-0.03274356 -0.15330196  0.03851606],"[[0.0989412 ]
 [0.99494171]
 [0.01736761]]",[3.51819424]
49,"[[12.68462692  4.7140652  -0.43002249]
 [ 4.7140652  59.51669631  0.84146009]
 [-0.43002249  0.84146009 13.23031293]]","[[60.          0.          0.        ]
 [ 0.         13.43163615  0.        ]
 [ 0.          0.         12.        ]]",[0.43052221 0.4032574  0.17301581],[ 0.12073293 -0.12993754 -0.00265512],[-0.03273559 -0.15296796  0.03885364],"[[0.09897269]
 [0.99494509]
 [0.01699062]]",[3.48774962]
50,"[[12.68540682  4.70378415 -0.43994548]
 [ 4.70378415 59.51920066  0.82840097]
 [-0.43994548  0.82840097 13.25391584]]","[[60.          0.          0.        ]
 [ 0.         13.45852332  0.        ]
 [ 0.          0.         12.        ]]",[0.43189778 0.40177309 0.17299272],[ 0.12394799 -0.1339741  -0.00177   ],[-0.03274808 -0.15259426  0.03923748],"[[0.09875983]
 [0.99497111]
 [0.01670271]]",[3.4530036]
51,"[[12.68431795  4.6658051  -0.45576815]
 [ 4.6658051  59.52820974  0.78418109]
 [-0.45576815  0.78418109 13.26724066]]","[[60.          0.          0.        ]
 [ 0.         13.47976835  0.        ]
 [ 0.          0.         12.        ]]",[0.43304984 0.40052732 0.17297901],[ 1.28702516e-01 -1.39177379e-01 -2.42736082e-06],[-0.03281652 -0.15222606  0.03956748],"[[0.09797181]
 [0.99506468]
 [0.01574182]]",[3.42249819]
52,"[[12.72347206  4.98535595 -0.42454401]
 [ 4.98535595 59.46391264  0.74105693]
 [-0.42454401  0.74105693 13.27453186]]","[[60.          0.          0.        ]
 [ 0.         13.46191656  0.        ]
 [ 0.          0.         12.        ]]",[0.43432341 0.39913992 0.1729603 ],[ 0.12367951 -0.13470461 -0.00206724],[-0.0327414  -0.15197134  0.03980926],"[[0.10472639]
 [0.99439065]
 [0.01481931]]",[3.40084033]
53,"[[12.73574788  5.01159886 -0.44687769]
 [ 5.01159886 59.46272769  0.57139896]
 [-0.44687769  0.57139896 13.25227352]]","[[60.          0.          0.        ]
 [ 0.         13.45074909  0.        ]
 [ 0.          0.         12.        ]]",[0.43580214 0.39751794 0.17293908],[ 0.123146   -0.13457055 -0.00153013],[-0.03304279 -0.15156205  0.04001326],"[[0.10533173]
 [0.99437466]
 [0.01114737]]",[3.37930998]
54,"[[12.7083522   4.825184   -0.45371556]
 [ 4.825184   59.49633604  0.77416723]
 [-0.45371556  0.77416723 13.31172455]]","[[60.          0.          0.        ]
 [ 0.         13.51641279  0.        ]
 [ 0.          0.         12.        ]]",[0.43694475 0.39625725 0.17292676],[ 0.12900301 -0.14314844 -0.00169341],[-0.03289072 -0.15154872  0.04022166],"[[0.10134392]
 [0.99473055]
 [0.01550939]]",[3.36106229]
55,"[[12.7591322   5.160807   -0.44442046]
 [ 5.160807   59.43121333  0.53167641]
 [-0.44442046  0.53167641 13.28262586]]","[[60.          0.          0.        ]
 [ 0.         13.47297139  0.        ]
 [ 0.          0.         12.        ]]",[0.43809725 0.39498224 0.17292005],[ 0.12817045 -0.14241812 -0.00025435],[-0.03305093 -0.15098862  0.0405583 ],"[[0.10849712]
 [0.9940436 ]
 [0.01028078]]",[3.33206475]
56,"[[12.75984858  5.15687557 -0.44475733]
 [ 5.15687557 59.42958175  0.63925818]
 [-0.44475733  0.63925818 13.33653966]]","[[60.          0.          0.        ]
 [ 0.         13.52596999  0.        ]
 [ 0.          0.         12.        ]]",[0.43951307 0.39341089 0.17291262],[ 0.12856006 -0.14269558 -0.00030416],[-0.03303416 -0.1506484   0.04097497],"[[0.10839263]
 [0.99402851]
 [0.01258442]]",[3.29830297]
57,"[[12.75938878  5.15073174 -0.45101048]
 [ 5.15073174 59.43057312  0.65350222]
 [-0.45101048  0.65350222 13.37100696]]","[[60.          0.          0.        ]
 [ 0.         13.56096886  0.        ]
 [ 0.          0.         12.        ]]",[0.44064091 0.39215272 0.17290935],[ 0.12288497 -0.13696867 -0.00032445],[-0.03297355 -0.15024827  0.04139401],"[[0.10825894]
 [0.99403923]
 [0.01288428]]",[3.26772865]
