,D,eigen_values_obs,pos,vel,des_vel,normals,dists
62,"[[13.91678185  8.01771115 -1.02293781]
 [ 8.01771115 45.53730222 -4.27884889]
 [-1.02293781 -4.27884889 12.54591594]]",,[0.51142534 0.4446802  0.23773302],[ 0.10819026 -0.12453581  0.00046604],[-0.03931267 -0.16444105  0.02098017],"[[0.08060531]
 [0.99421882]
 [0.07093467]]",[5.15981719]
63,"[[13.92567113  8.03379349 -1.03639444]
 [ 8.03379349 45.51654234 -4.3237803 ]
 [-1.03639444 -4.3237803  12.55778654]]",,[0.51259355 0.44333202 0.23773   ],[ 0.11752703 -0.13546384 -0.00036905],[-0.03937453 -0.16426837  0.02119134],"[[0.08409828]
 [0.99389734]
 [0.07138312]]",[5.12867503]
64,"[[13.94203548  8.06318491 -1.06151986]
 [ 8.06318491 45.47773598 -4.40735046]
 [-1.06151986 -4.40735046 12.58022855]]",,[0.51487781 0.4406978  0.23774276],[ 0.1208481  -0.14198667 -0.00072993],[-0.03948215 -0.1639269   0.02158101],"[[0.09107856]
 [0.99324558]
 [0.07188822]]",[5.06908257]
65,"[[13.95126097  8.07962275 -1.07595151]
 [ 8.07962275 45.45544491 -4.45521253]
 [-1.07595151 -4.45521253 12.59329412]]",,[0.51616798 0.4391946  0.23774439],[ 0.11669389 -0.13453185  0.00357682],[-0.03954066 -0.16372675  0.02180325],"[[0.09513166]
 [0.99285579]
 [0.07202327]]",[5.03526716]
66,"[[13.96366925  8.10134198 -1.09743076]
 [ 8.10134198 45.42301246 -4.52757606]
 [-1.09743076 -4.52757606 12.61331829]]",,[0.51802333 0.43703404 0.23774265],[ 0.11535114 -0.13407104 -0.00071804],[-0.03961449 -0.16343412  0.02213925],"[[0.10101269]
 [0.99224931]
 [0.0723722 ]]",[4.98542149]
67,"[[13.97345214  8.11832121 -1.11473066]
 [ 8.11832121 45.39687744 -4.58574158]
 [-1.11473066 -4.58574158 12.62967042]]",,[0.51953156 0.43527748 0.23774037],[ 1.14939265e-01 -1.34579478e-01  1.45424617e-05],[-0.03967225 -0.16320237  0.0224094 ],"[[0.1057662 ]
 [0.99172343]
 [0.07278833]]",[4.94511732]
68,"[[13.9817556   8.13258879 -1.12997604]
 [ 8.13258879 45.37394405 -4.63711593]
 [-1.12997604 -4.63711593 12.64430036]]",,[0.52087244 0.4337281  0.23776192],[ 0.11172382 -0.12858787  0.00283914],[-0.03972037 -0.16300163  0.02264813],"[[0.11001384]
 [0.99123224]
 [0.07318202]]",[4.91027125]
69,"[[13.98950483  8.14592207 -1.14367739]
 [ 8.14592207 45.35304616 -4.68272647]
 [-1.14367739 -4.68272647 12.65744901]]",,[0.52206376 0.43235548 0.23778711],[ 0.10720399 -0.12312784  0.0030203 ],[-0.03976699 -0.16282381  0.02286026],"[[0.11382019]
 [0.99077745]
 [0.0735188 ]]",[4.87968478]
70,"[[13.99685173  8.1585172  -1.15665142]
 [ 8.1585172  45.33317238 -4.72571918]
 [-1.15665142 -4.72571918 12.66997589]]",,[0.5231777  0.43105641 0.23780895],[ 0.11405802 -0.13341608  0.00238579],[-0.03981137 -0.16265692  0.02306024],"[[0.1173761 ]
 [0.99033564]
 [0.07387948]]",[4.85100251]
71,"[[14.00396742  8.1704166  -1.17099705]
 [ 8.1704166  45.31177291 -4.77429607]
 [-1.17099705 -4.77429607 12.68425968]]",,[0.52436287 0.42964118 0.237821  ],[ 0.1205097  -0.14464867  0.00049462],[-0.03985024 -0.16247422  0.02328606],"[[0.12123644]
 [0.98984263]
 [0.07425162]]",[4.8194872]
72,"[[14.01081351  8.18169551 -1.18565338]
 [ 8.18169551 45.29007942 -4.82424396]
 [-1.18565338 -4.82424396 12.69910707]]",,[0.52556861 0.42818834 0.23784241],[ 0.12018485 -0.14408672  0.00253745],[-0.0398851  -0.16228644  0.0235178 ],"[[0.12522433]
 [0.98932025]
 [0.07459427]]",[4.78729886]
73,"[[14.06885083  8.29123455 -1.20578428]
 [ 8.29123455 45.22838428 -4.83236402]
 [-1.20578428 -4.83236402 12.70276489]]",,[0.52678596 0.42674632 0.2378789 ],[ 0.11919462 -0.14099017  0.00383931],[-0.04037645 -0.16181478  0.02353253],"[[0.13335641]
 [0.98812345]
 [0.07634204]]",[4.71230414]
74,"[[13.83032406  7.81936637 -1.18283122]
 [ 7.81936637 45.40528141 -5.05319843]
 [-1.18283122 -5.05319843 12.76439453]]",,[0.52798872 0.42533131 0.23791976],[ 0.11696878 -0.13815755  0.00408995],[-0.03804597 -0.16253701  0.02458688],"[[0.11728853]
 [0.9895775 ]
 [0.08354503]]",[4.83127888]
75,"[[13.83500249  7.8262903  -1.20084791]
 [ 7.8262903  45.37914805 -5.12161941]
 [-1.20084791 -5.12161941 12.78584946]]",,[0.52954408 0.42348234 0.23797128],[ 0.11946802 -0.14339114  0.00377428],[-0.03805436 -0.16230192  0.02490323],"[[0.12240403]
 [0.98891103]
 [0.08409655]]",[4.7903196]
76,"[[13.96425929  8.07912154 -1.2580998 ]
 [ 8.07912154 45.22993309 -5.1746433 ]
 [-1.2580998  -5.1746433  12.80580762]]",,[0.5303698  0.42249369 0.23800625],[ 0.11798816 -0.14131408  0.00549522],[-0.03930527 -0.16166506  0.02517486],"[[0.14866823]
 [0.98435577]
 [0.09455937]]",[4.56303592]
77,"[[13.95347067  8.05845859 -1.25305291]
 [ 8.05845859 45.24275908 -5.16909477]
 [-1.25305291 -5.16909477 12.80377025]]",,[0.53151747 0.42111689 0.23806   ],[ 0.11265801 -0.13427584  0.00615847],[-0.03921826 -0.1617832   0.02515654],"[[0.14726315]
 [0.9849504 ]
 [0.09047808]]",[4.59923716]
